A Digital Hardware Implementation for A new Mixed-Order Nonlinear 3-D Chaotic System,Elsafty A.H. ,"Nile University, Nanoelectronics Integrated Systems Center (NISC), Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Dynamic lean assessment for takt time implementation, Deif A.M. ,"Industrial and Service Engineering Dept, Nile University, Cairo,",15020304700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=15020304700&zone=,"Deif, Ahmed M.","Deif, Ahmed M. ; Deif, A. ; Deif, Ahmed ; Deif, A. M."
Dynamic modelling of impact of lean policies on production levelling feasibility, Deif A.M. ,"Industrial and Service Engineering Department, Nile University, Cairo,",15020304700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=15020304700&zone=,"Deif, Ahmed M.","Deif, Ahmed M. ; Deif, A. ; Deif, Ahmed ; Deif, A. M."
Impact of dynamic capacity policies on WIP level in mix leveling lean environment,Deif A.M. ,"Industrial and Service Engineering Dept, Nile University, Cairo,",15020304700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=15020304700&zone=,"Deif, Ahmed M.","Deif, Ahmed M. ; Deif, A. ; Deif, Ahmed ; Deif, A. M."
Impact of dynamic capacity policies on WIP level in mix leveling lean environment,Deif A.M. ,"Industrial and Service Engineering Dept, Nile University, Cairo,",15020304700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=15020304700&zone=,"Deif, Ahmed M.","Deif, Ahmed M. ; Deif, A. ; Deif, Ahmed ; Deif, A. M."
Design and Implementation of a Ball and Beam PID Control System Based on Metaheuristic Techniques, Diab M.K. ,"School of Engineering and Applied Science, Nile University, Giza,",57214486419,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57214486419&zone=,"Diab, Mohamed Khaled","Diab, Mohamed Khaled"
"Remote prognosis, diagnosis and maintenance for automotive architecture based on least squares support vector machine and multiple classifiers", Diab M. ,"Center for Informatics Science, Nile University, Smart Village, Cairo,",55613514700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55613514700&zone=,"Diab, Mohammed","Diab, Mohammed"
Data analytics maturity models: A systematic literature review,Diab Z. ,"Nile University, Graduate School of Management of Technology,",57219419081,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57219419081&zone=,"Diab, Ziad","Diab, Ziad"
Dynamic proactive caching in relay networks, DIgham F. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",6601963619,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=6601963619&zone=,"Digham, Fadel F.A.","Digham, Fadel F.A. ; Digham, Fadel ; DIgham, Fadel ; Digham, Fadel F."
On Optimal Dynamic Caching in Relay Networks, Digham F. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",6601963619,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=6601963619&zone=,"Digham, Fadel F.A.","Digham, Fadel F.A. ; Digham, Fadel ; DIgham, Fadel ; Digham, Fadel F."
Towards optimal resource allocation in caching at relay networks, Digham F. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",6601963619,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=6601963619&zone=,"Digham, Fadel F.A.","Digham, Fadel F.A. ; Digham, Fadel ; DIgham, Fadel ; Digham, Fadel F."
"Demo: O'BTW - An opportunistic, similarity-based mobile recommendation system", EBatt T. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",55813118200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55813118200&zone=,"EBatt, Tamer","EBatt, Tamer"
Temperature-aware adaptive task-mapping targeting uniform thermal distribution in MPSoC platforms, Eddash O.K. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University/Northwestern University,",36995972900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36995972900&zone=,"Eddash, O. K.","Eddash, O. K."
AraVec: A set of Arabic Word Embedding Models for use in Arabic NLP, Eissa K. ,"Center for Informatics Science, Nile University, Giza, 12588,",57199302274,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57199302274&zone=,"Eissa, Kareem","Eissa, Kareem"
NU-Net: Deep residual wide field of view convolutional neural network for semantic segmentation, Eissa K. ,"Center for Informatics Science, Nile University, Giza,",57199302274,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57199302274&zone=,"Eissa, Kareem","Eissa, Kareem"
Investigation of properties limiting efficiency in Cu2ZnSnSe4-based solar cells, El Anzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",56114385200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56114385200&zone=,"El Anzeery, Hossam","El Anzeery, Hossam ; El Anzeery, H."
Spectral current-voltage analysis of kesterite solar cells, El Anzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",56114385200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56114385200&zone=,"El Anzeery, Hossam","El Anzeery, Hossam ; El Anzeery, H."
"Effect of solar canals on evaporation, water quality, and power production: An optimization study",El Baradei S. ,"El Baradei, S., Civil and Infrastructure Engineering Program, Faculty of Engineering, Nile University, Giza, 12677,",22984826900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=22984826900&zone=,"El Baradei, Sherine A.","El Baradei, Sherine A. ; EL Baradei, Sherine ; El Baradei, S. ; El Baradei, S. A. ; El Baradei, Sherine"
Impact of Climate change on Dissolved Oxygen Concentrations and on Waste Allocation Plan of Nile River in Egypt, EL Baradei S. ,"EL Baradei, S., civil and infrastructure engineering program, Nile University,",22984826900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=22984826900&zone=,"El Baradei, Sherine A.","El Baradei, Sherine A. ; EL Baradei, Sherine ; El Baradei, S. ; El Baradei, S. A. ; El Baradei, Sherine"
A feedback-based access scheme for cognitive-relaying networks, El Batt T. ,"El Batt, T., Wireless Intelligent Networks Center (WINC), Nile University, Smart Village,",35182858700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=35182858700&zone=,"El Batt, Tamer","El Batt, Tamer"
A source authentication scheme using network coding, El Batt T. ,"El Batt, T., Wireless Intelligent Networks Center (WINC), Nile University, Cairo, 12677,",35182858700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=35182858700&zone=,"El Batt, Tamer","El Batt, Tamer"
Effective capacity of cognitive radio links: Accessing primary feedback erroneously, El Batt T. ,"El Batt, T., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",35182858700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=35182858700&zone=,"El Batt, Tamer","El Batt, Tamer"
Integration of a 2-D periodic nanopattern into thin-film polycrystalline silicon solar cells by nanoimprint lithography, El Daif O. ,"Microelectronics System Design Department, Nile University, 12677 Giza,",6507914013,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=6507914013&zone=,"El Daïf, Ounsi","El Daïf, Ounsi ; El Daïf, O. ; El Daif, Ounsi ; Daif, Ounsi El ; ElDaif, Ounsi ; El Daif, O. ; Daif, Ounsi"
Optimal uplink and downlink resource allocation for wireless powered cellular networks,El Diwany B.E. ,"El Diwany, B.E., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201554817,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201554817&zone=,"El Diwany, Belal Essam","El Diwany, Belal Essam"
Achievable secrecy rate regions for the two-way wiretap channel,El Gamal A. ,"El Gamal, A., Wireless Intelligent Networks Center, Nile University, Cairo,",57202378467,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202378467&zone=,"El Gamal, Aly","El Gamal, Aly ; Gamal, Aly El"
New achievable secrecy rate regions for the two way wiretap channel,El Gamal A. ,"El Gamal, A., Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",57202378467,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202378467&zone=,"El Gamal, Aly","El Gamal, Aly ; Gamal, Aly El"
Randomization for security in half-duplex two-way Gaussian channels,El Gamal A. ,"El Gamal, A., Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",57202378467,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202378467&zone=,"El Gamal, Aly","El Gamal, Aly ; Gamal, Aly El"
A semi-supervised learning approach for soft labeled data, El-Gayar N.F. ,"Center for Informatics Science, Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Ambient and wearable sensing for gait classification in pervasive healthcare environments, El Gayar N. ,"El Gayar, N., Ubiquitous Computing Group, Center for Informatics Science, Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
An integrated framework for advanced hotel revenue management,El Gayar N.F. ,"El Gayar, N.F., Centre of Informatic Science, Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Automated cardiac-tissue identification in composite strain-encoded (C-SECN) images using fuzzy K-means and bayesian classifier, El-Gayar N. ,"Center for Informatics Sciences, Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Body and visual sensor fusion for motion analysis in Ubiquitous healthcare systems, El Gayar N. ,"El Gayar, N., Ubiquitous Computing Group, Center for Informatics Science, Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Change analysis for gait impairment quantification in smart environments, El Gayar N. ,"El Gayar, N., Ubiquitous Computing Group, Center for Informatics Science, Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Different regions identification in composite strain-encoded (C-SENC) images using machine learning techniques, El-Gayar N. ,"Center for Informatics Sciences, Nile University,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Emotions analysis of speech for call classification, El Gayar N. ,"El Gayar, N., Center for Informatics Science, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Exploiting neural networks to enhance trend forecasting for hotels reservations, El Gayar N. ,"Center for Informatics Science, School of Communication and Information Technology, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Fuzzy gaussian classifier for combining multiple learners, El Gayar N. ,"Center for Informatics Science, School of Communication and Information Technology, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Fuzzy gaussian process classification model, El Gayar N. ,"Centre of Informatics Science, School of Communication and Information Technology, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Improved technique to detect the infarction in delayed enhancement image using k-mean method, El-Gayar N. ,"Center for Informatics Sciences, Nile University,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Investigating analysis of speech content through text classification, El Gayar N. ,"El Gayar, N., Center for Informatics Science, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics): Preface,El Gayar N. ,"El Gayar, N., Nile University, Center for Informatics Science, 12677 Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics): Preface,El Gayar N. ,"El Gayar, N., Nile University, Department of Information Technology, Smart Village - B115, Alex Dessert Road, 12677 Giza (Cairo),",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Misfeasor classification and detection models using machine learning techniques, El Gayar N. ,"El Gayar, N., Center for Informatics Science, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
"MLP, gaussian processes and negative correlation learning for time series prediction", El Gayar N. ,"Center of Informatics Science, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Multiple classifiers for time series classification using adaptive fusion of feature and distance based methods, Gayar N.E. ,"Nile University, Cairo,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
New feature splitting criteria for co-training using genetic algorithm optimization, El Gayar N. ,"El Gayar, N., Center for Informatics Science, Nile University, Giza,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Score-based fusion using quality measures in a semi-supervised identity verification system, El Gayar N. ,"Center for Informatics Science, School of Communication and Information Technology, Nile University,",14063162200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=14063162200&zone=,"El Gayar, Neamat","El Gayar, Neamat ; El-Gayar, Neamat ; El Gayar, N. ; Gayar, Neamat E. ; El Gayar, Neamat Farouk ; Gayar, Neamat El ; El-Gayar, Neamat F."
Design methodology for square wave resonant clock generators,El Mahalawy M.W. ,"El Mahalawy, M.W., Nanoelectronics Integrated Systems Center, Nile University, Cairo,",55649438300,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55649438300&zone=,"El Mahalawy, Mohamed W.","El Mahalawy, Mohamed W. ; El Mahalawy, Mohamed"
Body and visual sensor fusion for motion analysis in Ubiquitous healthcare systems,El Sayed M. ,"El Sayed, M., Ubiquitous Computing Group, Center for Informatics Science, Nile University, Cairo,",57214574182,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57214574182&zone=,"El Sayed, M.","El Sayed, M."
"Stock exchange threat modeling, EGX as a case study",El Shafei E. ,"El Shafei, E., Nile University, Giza,",57195670914,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57195670914&zone=,"El Shafei, Ehab","El Shafei, Ehab"
Band allocation for cognitive radios with buffered primary and secondary users,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Cognitive access protocol for alleviating sensing errors in cognitive multiple-access systems,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Smart Village, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Cooperative cognitive relaying with ordered cognitive multiple access,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Interference-based optimal power-efficient access scheme for cognitive radio networks, El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Maximum throughput of a secondary user cooperating with an energy-aware primary user,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
On orthogonal band allocation for multiuser multiband cognitive radio networks: Stability analysis,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center, Nile University, Cairo, 12677,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
On spectrum sharing between energy harvesting cognitive radio users and primary users,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Optimal random access and random spectrum sensing for an energy harvesting cognitive radio,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Optimal selection of spectrum sensing duration for an energy harvesting cognitive radio,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Optimal spectrum access for a rechargeable cognitive radio user based on energy buffer state,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Power-optimal feedback-based random spectrum access for an energy harvesting cognitive user, El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Spectrum-aggregating cognitive multi-antenna user with multiple primary users,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Stability analysis of an ordered cognitive multiple-access protocol,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center, Nile University, Giza 12677,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Transmit and receive cooperative cognition: Protocol design and stability analysis,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Optimal cooperative cognitive relaying and spectrum access for an energy harvesting cognitive radio: Reinforcement learning approach,El Shane A. ,"El Shane, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",56598003600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56598003600&zone=,"El Shane, Ahmed","El Shane, Ahmed"
Knowledge management in contract administration: An ontological engineering approach, El Sherbiny A. ,"El Sherbiny, A., Construction Engineering and Management, Nile University,",57213403547,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57213403547&zone=,"El Sherbiny, Ahmed H.","El Sherbiny, Ahmed H. ; El Sherbiny, Ahmed"
Technological innovation in ergonomics & safety in automotive industries in Egypt, El Sherbiny M.E. ,"El Sherbiny, M.E., Nile University, School Industrial Engineering and Management,",57215536685,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57215536685&zone=,"El Sherbiny, Mayada Effat","El Sherbiny, Mayada Effat"
Ab initio density functional theory investigation of the interaction between carbon nanotubes and water molecules during water desalination Process,Elalfy L.A. ,"Center for Nanotechnology, Nile University, B2, Smart Village, Km 28 Cairo-Alex Desert Road, Cairo 12677,",55946358300,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55946358300&zone=,"Elalfy, Loay A.","Elalfy, Loay A. ; Elalfy, Loay"
Comparing maintenance strategies for overlays, El-Ansary S. ,"Nile University, Giza,",9333507400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=9333507400&zone=,"El-Ansary, Sameh","El-Ansary, Sameh ; El-Ansary, S."
MyP2PWorld: Highly reproducible application-level emulation of P2P systems, El-Ansary S. ,"Nile University,",9333507400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=9333507400&zone=,"El-Ansary, Sameh","El-Ansary, Sameh ; El-Ansary, S."
Natcracker: Nat combinations matter, El-Ansary S. ,"Nile University,",9333507400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=9333507400&zone=,"El-Ansary, Sameh","El-Ansary, Sameh ; El-Ansary, S."
On the feasibility of centrally-coordinated Peer-to-Peer live streaming, El-Ansary S. ,"Nile University,",9333507400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=9333507400&zone=,"El-Ansary, Sameh","El-Ansary, Sameh ; El-Ansary, S."
Replica placement in peer-assisted clouds: An economic approach, El-Ansary S. ,"Center of Informatics Science, Nile University,",9333507400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=9333507400&zone=,"El-Ansary, Sameh","El-Ansary, Sameh ; El-Ansary, S."
Characterization of defects in 9.7% efficient Cu2ZnSnSe 4-CdS-ZnO solar cells, Elanzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
Frequency survey simulation for developing novel radio frequency energy harvesting model,ElAnzeery H. ,"Microelectronics System Design, Nile University, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
"Impact of the Cd2+ treatment on the electrical properties of Cu2ZnSnSe4 and Cu(In,Ga)Se2 solar cells", ElAnzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
Modelling of Cu2ZnSnSe4-CdS-ZnO thin film solar cell, Elanzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
"Multistep deposition of Cu2Si(S,Se)3 and Cu2ZnSiSe4high band gap absorber materials for thin film solar cells",Elanzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
Novel radio frequency energy harvesting model,ElAnzeery H.M.G.E.M. ,"Department of Microelectronics System Design, Nanoelectronics Integrated Systems Center, Nile University, Smart Village, B2, Km 28, Cairo-Alex. Desert Road, 12677, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
Physical and electrical characterization of high-performance Cu2ZnSnSe4based thin film solar cells, Elanzeery H. ,"Microelectronics System Design Department, Nile University, Cairo,",55270301600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55270301600&zone=,"ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed","ElAnzeery, Hossam Mahmoud Gamal El Din Mohammed ; Elanzeery, Hossam ; Elanzeery, H. ; ElAnzeery, Hossam ; ElAnzeery, H."
