Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256,Column257,Column258,Column259,Column260,Column261,Column262,Column263,Column264,Column265,Column266,Column267,Column268,Column269,Column270,Column271,Column272,Column273,Column274,Column275,Column276,Column277,Column278,Column279,Column280,Column281,Column282,Column283,Column284,Column285,Column286,Column287,Column288,Column289,Column290,Column291,Column292,Column293,Column294,Column295,Column296,Column297,Column298,Column299,Column300,Column301,Column302,Column303,Column304,Column305,Column306,Column307,Column308,Column309,Column310,Column311,Column312,Column313,Column314,Column315,Column316,Column317,Column318,Column319,Column320,Column321,Column322,Column323,Column324,Column325,Column326,Column327,Column328,Column329,Column330,Column331,Column332,Column333,Column334,Column335,Column336,Column337,Column338,Column339,Column340,Column341,Column342,Column343,Column344,Column345,Column346,Column347,Column348,Column349,Column350,Column351,Column352,Column353,Column354,Column355,Column356,Column357,Column358,Column359,Column360,Column361,Column362,Column363,Column364,Column365,Column366,Column367,Column368,Column369
"Abd-Allah M.N., Salah A., El-Beltagy S.R.",57195520419;24424269200;6506716427;,Enhanced customer churn prediction using social network analysis,2014,"International Conference on Information and Knowledge Management, Proceedings",2014-November,November,,11,12,,4,10.1145/2665994.2665997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937721496&doi=10.1145%2f2665994.2665997&partnerID=40&md5=cdd16464d646bb91daeb7300db0040aa,"Dept. of Computers and Information, Cairo University, Cairo, Egypt; Dept. of Computers and Information, Nile University, Cairo, Egypt","Abd-Allah, M.N., Dept. of Computers and Information, Cairo University, Cairo, Egypt; Salah, A., Dept. of Computers and Information, Cairo University, Cairo, Egypt; El-Beltagy, S.R., Dept. of Computers and Information, Nile University, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84937721496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tolba M.F., Saleh H., Mohammad B., Al-Qutayri M., Elwakil A.S., Radwan A.G.",56912006300;24722911600;23051790200;6602401716;7003287524;7103379659;,Enhanced FPGA realization of the fractional-order derivative and application to a variable-order chaotic system,2020,Nonlinear Dynamics,99,4,,3143,3154,,2,10.1007/s11071-019-05449-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078063708&doi=10.1007%2fs11071-019-05449-w&partnerID=40&md5=8eff757f2a0ddcfee1aca5aa098027eb,"SoC Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Department of Electrical and Computer Engineering, University of Sharjah, PO 27272, Sharjah, United Arab Emirates; Department of Electrical and Computer Engineering, University of CalgaryAB, Canada; NISC Research Center, Nile University, Cairo, 12588, Egypt; Department of Engineering Mathematics and Physics, Cairo University, Cairo, Egypt; NISC Research Center, Nile University, Cairo, 12588, Egypt","Tolba, M.F., SoC Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Saleh, H., SoC Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Mohammad, B., SoC Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Al-Qutayri, M., SoC Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Elwakil, A.S., Department of Electrical and Computer Engineering, University of Sharjah, PO 27272, Sharjah, United Arab Emirates, Department of Electrical and Computer Engineering, University of CalgaryAB, Canada, NISC Research Center, Nile University, Cairo, 12588, Egypt; Radwan, A.G., Department of Engineering Mathematics and Physics, Cairo University, Cairo, Egypt, NISC Research Center, Nile University, Cairo, 12588, Egypt",Article,Final,,Scopus,2-s2.0-85078063708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khettab K., Bensafia Y., Bourouba B., Azar A.T.",55923769100;55810907200;57193152187;57208175025;,Enhanced Fractional Order Indirect Fuzzy Adaptive Synchronization of Uncertain Fractional Chaotic Systems Based on the Variable Structure Control : Robust H ∞ Design Approach,2018,Mathematical Techniques of Fractional Order Systems,,,,597,624,,4,10.1016/B978-0-12-813592-1.00020-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064048688&doi=10.1016%2fB978-0-12-813592-1.00020-9&partnerID=40&md5=71041134088f276388ee6fa42ee27a70,"Mohamed Boudiaf University of M’sila, M’sila, 28000, Algeria; Mohand Oulhadj University of Bouira, Bouira, 10000, Algeria; University of Sétif, Sétif, 19000, Algeria; Faculty of Computers and Information, Benha University, Benha, Egypt; School of Engineering and Applied Sciences, Nile University, Giza, Egypt","Khettab, K., Mohamed Boudiaf University of M’sila, M’sila, 28000, Algeria; Bensafia, Y., Mohand Oulhadj University of Bouira, Bouira, 10000, Algeria; Bourouba, B., University of Sétif, Sétif, 19000, Algeria; Azar, A.T., Faculty of Computers and Information, Benha University, Benha, Egypt, School of Engineering and Applied Sciences, Nile University, Giza, Egypt",Book Chapter,Final,,Scopus,2-s2.0-85064048688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elsafty A.H., Tolba M.F., Said L.A., Madian A.H., Radwan A.G.",57202986074;56912006300;36740094700;15049578500;7103379659;,Enhanced hardware implementation of a mixed-order nonlinear chaotic system and speech encryption application,2020,AEU - International Journal of Electronics and Communications,125,,153347,,,,,10.1016/j.aeue.2020.153347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089148822&doi=10.1016%2fj.aeue.2020.153347&partnerID=40&md5=3982de1682617da33fd3e47bf6321a0e,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza, Egypt; System-on-Chip (SoC) Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Radiation Engineering Dept., NCRRT, Egyptian Atomic Energy, Authority, Egypt; Dept. of Engineering Mathematics and Physics, Cairo University, Giza, Egypt; School of Engineering and Applied Sciences, Nile University, Giza, Egypt","Elsafty, A.H., Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza, Egypt; Tolba, M.F., System-on-Chip (SoC) Center, Khalifa University, P.O. Box 127788, Abu Dhabi, United Arab Emirates; Said, L.A., Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza, Egypt; Madian, A.H., Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza, Egypt, Radiation Engineering Dept., NCRRT, Egyptian Atomic Energy, Authority, Egypt; Radwan, A.G., Dept. of Engineering Mathematics and Physics, Cairo University, Giza, Egypt, School of Engineering and Applied Sciences, Nile University, Giza, Egypt",Article,Final,,Scopus,2-s2.0-85089148822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medhat M., El-Batawy Y.M., Abdelmageed A.K., Soliman E.A.",56893376000;6603406617;6603077387;56249771700;,Enhanced plasmonic photovoltaic using embedded novel gear-shaped nanoparticles,2018,Applied Optics,57,19,,5425,5433,,2,10.1364/AO.57.005425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049229870&doi=10.1364%2fAO.57.005425&partnerID=40&md5=960fad8d13b2919f9b48302dc2e18ee5,"Engineering Mathematics and Physics Department, Faculty of Engineering, Cairo University, Giza, 12211, Egypt; Department of Physics, School of Sciences and Engineering, American University in Cairo, New Cairo, 11835, Egypt; School of Engineering, Nile University, Giza, Egypt","Medhat, M., Engineering Mathematics and Physics Department, Faculty of Engineering, Cairo University, Giza, 12211, Egypt; El-Batawy, Y.M., Engineering Mathematics and Physics Department, Faculty of Engineering, Cairo University, Giza, 12211, Egypt, School of Engineering, Nile University, Giza, Egypt; Abdelmageed, A.K., Engineering Mathematics and Physics Department, Faculty of Engineering, Cairo University, Giza, 12211, Egypt; Soliman, E.A., Department of Physics, School of Sciences and Engineering, American University in Cairo, New Cairo, 11835, Egypt",Article,Final,,Scopus,2-s2.0-85049229870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahmed Y., Hosny S., Tadrous J., Nafie M., Ibrahim M.S.",57216368999;57041007400;36169455600;6701337161;57203902370;,Enhanced Proactive Caching Through Content Recommendation,2019,"Conference Record - Asilomar Conference on Signals, Systems and Computers",2019-November,,9048816,1252,1256,,,10.1109/IEEECONF44664.2019.9048816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083303959&doi=10.1109%2fIEEECONF44664.2019.9048816&partnerID=40&md5=3f2b74536f1a39a483aa57fb2a4a8817,"Nile University, Egypt; Gonzaga University, United States; University of Virginia, United States","Ahmed, Y., Nile University, Egypt; Hosny, S., Nile University, Egypt; Tadrous, J., Gonzaga University, United States; Nafie, M., Nile University, Egypt; Ibrahim, M.S., University of Virginia, United States",Conference Paper,Final,,Scopus,2-s2.0-85083303959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siam M., Elhelw M.",55660049000;7801537176;,Enhanced target tracking in UAV imagery with P-N learning and structural constraints,2013,Proceedings of the IEEE International Conference on Computer Vision,,,6755949,586,593,,6,10.1109/ICCVW.2013.81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897504479&doi=10.1109%2fICCVW.2013.81&partnerID=40&md5=6885f0dbce7483e8c586865c33a2a807,"Nile University, Center of Informatics Science, B2 Smart Village, Cairo, Egypt","Siam, M., Nile University, Center of Informatics Science, B2 Smart Village, Cairo, Egypt; Elhelw, M., Nile University, Center of Informatics Science, B2 Smart Village, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84897504479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alshaer N., Ismail T., Nasr M.E.",57211232414;36009912100;7102226678;,Enhancing earth-to-satellite FSO system spectrum efficiency with adaptive M-ary PSK and SIMO in presence of scintillation and beam wander,2020,AEU - International Journal of Electronics and Communications,125,,153366,,,,,10.1016/j.aeue.2020.153366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088920516&doi=10.1016%2fj.aeue.2020.153366&partnerID=40&md5=e53261d8cb4b765759ccd695c7f1e242,"Department of Electronics and Electrical Communication, Faculty of Engineering, Tanta University, Egypt; National Institute of Laser Enhanced Sciences, Cairo University, Giza, Egypt; Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt","Alshaer, N., Department of Electronics and Electrical Communication, Faculty of Engineering, Tanta University, Egypt; Ismail, T., National Institute of Laser Enhanced Sciences, Cairo University, Giza, Egypt, Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; Nasr, M.E., Department of Electronics and Electrical Communication, Faculty of Engineering, Tanta University, Egypt",Article,Final,,Scopus,2-s2.0-85088920516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al-Nahhal M., Ismail T.",57214710456;36009912100;,Enhancing spectral efficiency of FSO system using adaptive SIM/M-PSK and SIMO in the presence of atmospheric turbulence and pointing errors,2019,International Journal of Communication Systems,32,9, e3942,,,,5,10.1002/dac.3942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063076763&doi=10.1002%2fdac.3942&partnerID=40&md5=fc5e5fc517723302dd3b679833da0cc0,"National Institute of Laser Enhanced Science, Cairo University, Giza, Egypt; School of Engineering and Applied Science, Nile University, Giza, Egypt","Al-Nahhal, M., National Institute of Laser Enhanced Science, Cairo University, Giza, Egypt; Ismail, T., National Institute of Laser Enhanced Science, Cairo University, Giza, Egypt, School of Engineering and Applied Science, Nile University, Giza, Egypt",Article,Final,,Scopus,2-s2.0-85063076763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maundy B.J., Elwakil A.S., Gift S.J.G.",7004913781;7003287524;6701586518;,Enhancing the improved Howland circuit,2019,International Journal of Circuit Theory and Applications,47,4,,532,541,,,10.1002/cta.2605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061583782&doi=10.1002%2fcta.2605&partnerID=40&md5=b11fec17b0e3f0c4c479d6286053df48,"Department of Electrical and Computer Engineering, University of CalgaryAB, Canada; Department of Electrical and Computer Engineering, University of Sharjah, Sharjah, United Arab Emirates; Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt; Department of Electrical and Computer Engineering, University of the West Indies, St Augustine, St Augustine, Trinidad and Tobago","Maundy, B.J., Department of Electrical and Computer Engineering, University of CalgaryAB, Canada; Elwakil, A.S., Department of Electrical and Computer Engineering, University of CalgaryAB, Canada, Department of Electrical and Computer Engineering, University of Sharjah, Sharjah, United Arab Emirates, Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt; Gift, S.J.G., Department of Electrical and Computer Engineering, University of the West Indies, St Augustine, St Augustine, Trinidad and Tobago",Article,Final,,Scopus,2-s2.0-85061583782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singh Y., El-Hadidi M., Admard J., Wassouf Z., Schulze-Hentrich J.M., Kohlhofer U., Quintanilla-Martinez L., Huson D., Riess O., Casadei N.",24172264700;57062645000;57211783884;57191898716;57210067705;55548688800;7003308935;6604069881;7005559422;16047047000;,Enriched environmental conditions modify the gut microbiome composition and fecal markers of inflammation in parkinson’s disease,2019,Frontiers in Neuroscience,13,OCT,1032,,,,2,10.3389/fnins.2019.01032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074967567&doi=10.3389%2ffnins.2019.01032&partnerID=40&md5=b99c2e4e917384269f4517a954009419,"Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany; Algorithms in Bioinformatics, Faculty of Computer Science, University of Tübingen, Tübingen, Germany; Center for Informatics Science, Nile University, Bioinformatics, Giza, Egypt; Institute of Pathology, Comprehensive Cancer Center, University Hospital, University of Tübingen, Tübingen, Germany","Singh, Y., Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany; El-Hadidi, M., Algorithms in Bioinformatics, Faculty of Computer Science, University of Tübingen, Tübingen, Germany, Center for Informatics Science, Nile University, Bioinformatics, Giza, Egypt; Admard, J., Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany; Wassouf, Z., Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany; Schulze-Hentrich, J.M., Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany; Kohlhofer, U., Institute of Pathology, Comprehensive Cancer Center, University Hospital, University of Tübingen, Tübingen, Germany; Quintanilla-Martinez, L., Institute of Pathology, Comprehensive Cancer Center, University Hospital, University of Tübingen, Tübingen, Germany; Huson, D., Center for Informatics Science, Nile University, Bioinformatics, Giza, Egypt; Riess, O., Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany; Casadei, N., Institute of Medical Genetics and Applied Genomics, University of Tübingen, Tübingen, Germany",Article,Final,Open Access,Scopus,2-s2.0-85074967567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo-Soliman M.A.,57201994400;,Enterprise WLAN security flaws current attacks and relative mitigations,2018,ACM International Conference Proceeding Series,,,3230836,,,,,10.1145/3230833.3230836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055248869&doi=10.1145%2f3230833.3230836&partnerID=40&md5=a37f61c7e8dd2b3f6c17b936defcc21c,"Faculty of Communication and Information Technology, Nile University, Cairo, Egypt; National Telecommunication Institute, Nile University, Cairo, Egypt","Abo-Soliman, M.A., Faculty of Communication and Information Technology, Nile University, Cairo, Egypt, National Telecommunication Institute, Nile University, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85055248869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labib H., Khalil T.",57219410319;7005286039;,Entrepreneurial ecosystems: Global practices and reflection on the egyptian context,2020,"Towards the Digital World and Industry X.0 - Proceedings of the 29th International Conference of the International Association for Management of Technology, IAMOT 2020",,,,1147,1161,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092652568&partnerID=40&md5=51f02ff19481dc66ddc0799a4c41e09d,"Nile University, School of Management of Technology, Egypt","Labib, H., Nile University, School of Management of Technology, Egypt; Khalil, T., Nile University, School of Management of Technology, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85092652568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
